major-code,learning-outcomes-id,learning-outcomes
ACCT-MAJ,1,Integrate theoretical and technical accounting knowledge in a business context
ACCT-MAJ,2,"Exercise judgement under supervision to provide possible solutions to routine accounting problems in straightforward contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives"
ACCT-MAJ,3,Critically apply theoretical and technical accounting knowledge and skills to provide possible solutions to routine accounting problems
ACCT-MAJ,4,Justify and communication accounting advice and ideas to both specialists and non-specialists
ACMG-MAJ,1,"Demonstrate a nuanced and self-reflective understanding of theories of gender, media and culture, especially in the context of Asian and Pacific societies;"
ACMG-MAJ,2,"Apply the conceptual vocabulary of gender, media and cultural studies to analyse critical issues and problems in Asia and the Pacific, using both scholarly and applied approaches;"
ACMG-MAJ,3,"Reflect on the cross-cultural processes and interdisciplinary approaches through which current knowledge about gender, media and culture in Asia and the Pacific has developed;"
ACMG-MAJ,4,"Communicate complex ideas in writing, speech, and multimedia, justifying methods and approaches as appropriate."
ACMK-MAJ,1,"Recognise the
 important role of investment and financing decisions, as well as the role of
 equities, bonds and derivatives in Asian financial markets."
ACMK-MAJ,2,"Critically engage
 with and evaluate financial problems."
ACMK-MAJ,3,"Work independently
 and collaboratively to collect, process, interpret and communicate the
 outcomes of financial problems."
ACMK-MAJ,4,"Discuss the different
 capital markets that operate within the Asian region, and be able to
 demonstrate the unique advantages of each system."
ADIS-MAJ,0,nil
AGIN-MAJ,1,Demonstrate an understanding of the complexity of agricultural systems and value chains.
AGIN-MAJ,2,"Critically analyse published literature of relevance to agricultural innovation systems in the context of resilience to environmental, economic and social drivers of change."
AGIN-MAJ,3,Apply knowledge of innovation systems to identify emerging opportunities and solve challenges in the agricultural sector.
AGIN-MAJ,4,Integrate and adapt appropriate knowledge and problem-solving methods to co-design novel solutions with stakeholders and clients effectively in multi-disciplinary teams.
AGIN-MAJ,5,Clearly communicate theory and results in both written and oral formats.
AGRK-MAJ,1,"become acquainted with and extend your command of Ancient Greek grammar and vocabulary; to enable you to increase your ability to read Ancient Greek with pleasure and understanding: some texts at sight, any texts with the aid of dictionaries, grammars, translations, and textual notes;"
AGRK-MAJ,2,"develop skills in reading Ancient Greek, beginning with the study of simplified texts and moving to focussed examination of foundational texts of the Greek and the Greco-Roman world;"
AGRK-MAJ,3,study these texts against their historical and cultural background; and
AGRK-MAJ,4,promote approaches and methodologies for critical thinking not only about the ancient sources but also the discourse of our own world.
AHIST-MAJ,1,Understand historical forces that have shaped Asian and Pacific states and societies.
AHIST-MAJ,2,Analyse the regional and global significance of historical events and developments in Asia and the Pacific.
AHIST-MAJ,3,Identify and critique the uses that are made of history in contemporary Asian and Pacific societies.
AHIST-MAJ,4,Understand the techniques that historians use to develop understandings of the past and the meaning of the past to different social groups.
AHIST-MAJ,5,Construct coherent arguments based on evidence drawn from the past.
AHIT-MAJ,1,"identify key movements art and design, describe their development, evolution and interrelationships;"
AHIT-MAJ,2,"recognise and reflect on the practices, languages, forms, materials, technologies and techniques used throughout history in art and design;"
AHIT-MAJ,3,"analyse the social, cultural, ethical context of historic and contemporary art and design; and"
AHIT-MAJ,4,"interpret, communicate and present ideas, problems and arguments about art and design in modes suited to a range of audiences."
ANCH-MAJ,1,speak with some authority on ancient Greek andRoman history;
ANCH-MAJ,2,think critically and analytically about majorissues and controversies in ancient Greek and Roman history;
ANCH-MAJ,3,"write more effectively and critically, andmaster oral communication;"
ANCH-MAJ,4,distinguish between primary and secondary sources and critically evaluate them; and
ANCH-MAJ,5,develop a global perspective by studying the histories of two very different and chronologically distant cultures.
ANTH-MAJ,1,"demonstrate understanding of the major dimensions of analysis of societies and cultures (e.g., gender, religion, personhood, identity, violence, emotion, state, nation, globalisation);"
ANTH-MAJ,2,"demonstrate understanding of both directed and unintended processes of change (e.g., culture and development, applied anthropology);"
ANTH-MAJ,3,"demonstrate understanding of the interrelation of technique and theory in the recording and describing of cultures (e.g., film); and"
ANTH-MAJ,4,demonstrate understanding of the intersection of bio-social and material dimensions of social life.
APIR-MAJ,1,Understand and evaluate historical and current events and development that have shaped the international relations of the Asia-Pacific;
APIR-MAJ,2,Identify and critique the patterns of conflict and cooperation to the conduct of international relations in the Asia-Pacific;
APIR-MAJ,3,"Analyse the regional and global significance of events, developments, and foreign policies within the Asia-Pacific;"
APIR-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about the international relations of the Asia-Pacific has developed.
APST-MAJ,1,Exhibit a working knowledge of the statistical computing package R.
APST-MAJ,2,Apply statistical survey sampling techniques to design a routine sample survey.
APST-MAJ,3,Apply basic principles in the design of simple experiments.
APST-MAJ,4,Communicate the role of generalized linear modelling techniques (GLMs) in modern applied statistics and implement GLM methodology.
APST-MAJ,5,"Effectively communicate statistical analyses graphically, numerically and in written reports"
APST-MAJ,6,"Describe statistical models of transfer between multiple states, including processes with single or multiple decrements, and derive relationships between probabilities of transfer and transition intensities"
APST-MAJ,7,Interpret the results of a Bayesian analysis and perform Bayesian model evaluation and assessment.
APST-MAJ,8,Formulate a Bayesian solution to real-data problems.
ARAB-MAJ,1,"write texts in Arabic in the appropriate genre, with correct grammatical structures and thematic vocabulary relevant to the level of the student;"
ARAB-MAJ,2,"read, comprehend and infer authors' meanings in newspapers, magazines, literary and critical texts written in Arabic;"
ARAB-MAJ,3,"engage with authentic media such as Arabic news, movies or music by analysing and evaluating their content;"
ARAB-MAJ,4,communicate verbally in a variety of settings with proficient Arabic speakers; and
ARAB-MAJ,5,identify and differentiate aspects and issues of the cultures and societies associated with the Arabic language.
ARCH-MAJ,1,identify patterns and regional variation in the human past as revealed by the archaeological evidence;
ARCH-MAJ,2,explain the nature of ancient and historic life and cultural transformations;
ARCH-MAJ,3,critically evaluate archaeological evidence for the reconstruction of cultural systems and cultural change in specific regions;
ARCH-MAJ,4,describe the long-term cultural changes in different parts of the world; and
ARCH-MAJ,5,explain the basics of human physical and cultural evolution.
ASIA-MAJ,1,"Identify the processes by which knowledge about Asia has been produced, circulated and applied."
ASIA-MAJ,2,Analyse major trends in Asia within regional and global comparative frameworks.
ASIA-MAJ,3,Understand the theoretical frameworks and research techniques in humanities and social science literatures relevant to the study of Asia.
ASIA-MAJ,4,"Evaluate ideas and develop creative solutions to problems, including through independent pursuit of knowledge and making connections between different disciplinary approaches and methods."
ASIA-MAJ,5,"Communicate and debate both orally and in writing, and work with others, using a variety of media."
ASIA-MAJ,6,Continue learning about Asia; from Asia; and with Asia.
ASPP-MAJ,0,nil
ASSY-MAJ,1,"Apply systematic design-oriented engineering principles, including those aided by mathematical modelling and computer simulation, to analyse and design aerospace systems, including structural, propulsion, data and flight instrumentation, communication, and guidance, navigation, and control sub-systems."
ASSY-MAJ,2,"Evaluate solutions to engineering problems in aerospace systems, by selecting and applying theoretical principles and methods from sciences, mathematics, computing, systems theory and engineering disciplines that describe the relationship between fundamental physical sciences and the behaviour of aerospace systems."
ASSY-MAJ,3,"Demonstrate proficiency with advanced knowledge and tools in aerospace systems, including aerodynamics, material design, air and space propulsion, advanced control, microprocessors, and flight optimisation to meet aircraft performance, stability and controllability, and propulsion requirements."
ASSY-MAJ,4,"Identify and compare current developments and emerging trends in contemporary and prospective aerospace systems, including autonomous aerial systems, miniaturised space systems, aerospace robotics, and aerial and space swarm systems."
ASSY-MAJ,5,Use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions.
ASSY-MAJ,6,Undertake critical reflection and independent research in aerospace systems.
ASSY-MAJ,7,"Work effectively within teams, demonstrating autonomy, ethical conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard."
ASTR-MAJ,1,"describe and explain the basic properties of astrophysical objects, including planets, stars, galaxies, black holes, and the universe as a whole."
ASTR-MAJ,2,"apply the principles of physics to solve problems pertaining to the behaviour of these objects, and to make predictions about their evolution."
ASTR-MAJ,3,describe and explain the operation of telescopes and related instruments for observing astronomical phenomena.
ASTR-MAJ,4,"use mathematical, computational and experimental skills to solve conceptual and quantitative problems in astrophysics."
ASTR-MAJ,5,"demonstrate skills including: equipment familiarity, data gathering, record keeping, data analysis, dealing with uncertainty, experiment design, and comparison with theory."
ASTR-MAJ,6,analyse unfamiliar astrophysical systems and provide order-of-magnitude estimates of quantities. This includes a knowledge of basic physical constants and key equations.
ASTR-MAJ,7,be both creative and rigorous in the design and construction of scientific investigations of astrophysical systems.
ASTR-MAJ,8,effectively communicate astrophysical analyses to expert and non-expert audiences.
ASTR-MAJ,9,"constructively criticise evidence, arguments and conclusions wherever they are encountered."
AUIS-MAJ,1,"demonstrate an informed understanding of and insight into First Peoples' diverse perspectives on Australian history, cultures and societies;"
AUIS-MAJ,2,demonstrate an understanding of and insight into First Peoples' diverse knowledges and ways of knowing;
AUIS-MAJ,3,demonstrate insight and informed understanding about the phenomenon of colonisation and the many and different impacts of colonialism on First Peoples and Australian society broadly; and
AUIS-MAJ,4,demonstrate informed insight regarding Australian Indigenous Studies in the context of other Indigenous and First Nations Peoples globally.
BCHM-MAJ,1,Combine chemical and biological concepts to understand the structure and function of molecules that are relevant to biological processes.
BCHM-MAJ,2,Integrate chemical and biological concepts and ideas to solve problems of a biochemical nature.
BCHM-MAJ,3,Have well developed laboratory based skills in methods that investigate biomolecules.
BCHM-MAJ,4,Undertake appropriate risk assessments and use biochemicals in a safe manner.
BCHM-MAJ,5,"Use software and instrumentation for the acquisition, processing and analysis of biochemical data."
BCHM-MAJ,6,Access relevant biochemical literature and use it to present well constructed arguments based on sound biochemical reasoning.
BCHM-MAJ,7,Perform both collaborative and independent research in a professional manner.
BCHM-MAJ,8,Communicate biochemical concepts clearly and accurately to an expert or a non-expert audience.
BCHM-MAJ,9,"Recognize the interdisciplinary nature of biochemistry and its underlying significance in other areas of science, such as medicine."
BCHM-MAJ,10,Demonstrate an understanding of the ethical and social dimensions of practising biochemistry.
BIAN-MAJ,1,define the scope of biological anthropology as a discipline and situate it in a wider anthropological context;
BIAN-MAJ,2,apply the discipline's theoretical approaches and research methodologies in the investigation of primate evolutionary and population biology;
BIAN-MAJ,3,"critically discuss contemporary and historical research in at least four of the following subfields: fossil evidence for human evolution; evolutionary primatology; behavioural primatology; human skeletal morphology; bioarchaeology; anthropological genetics; human population health, nutrition and environmental adaptability; human population dynamics; and"
BIAN-MAJ,4,"recognise and reflect
     on local and international perspectives on research in biological
     anthropology."
BIOD-MAJ,1,Define and explain biodiversity for audiences ranging from the general public to the scientific community.
BIOD-MAJ,2,Articulate why conserving biodiversity is important.
BIOD-MAJ,3,"Apply key concepts that underpin the conservation of biodiversity at the level of genes, species and ecosystems."
BIOD-MAJ,4,Design and implement practical strategies to measure and monitor biodiversity.
BIOD-MAJ,5,"Analyse, interpret and critique data used to evaluate biodiversity and the impacts of human activities on biodiversity."
BIOD-MAJ,6,Identify management and policy options to conserve biodiversity in a range of circumstances.
BUSN-MAJ,1,"Identify, interpret and analyse stakeholder needs, establish priorities and the goals, constraints and uncertainties of the system (social, cultural, legislative, environmental, business etc), using systems thinking, while recognising ethical implications of professional practice."
BUSN-MAJ,2,"Apply problem solving, design and decision making methodologies to develop components, systems and/or processes to meet specified requirements, including innovative approaches to synthesise alternative solutions, concepts and procedures, while demonstrating information skills and research methods."
BUSN-MAJ,3,"Communicate and coordinate proficiently by: listening, speaking, reading and writing English for professional practice; working as an effective member or leader of diverse teams; using basic tools and practices of formal project management."
BUSN-MAJ,4,"Manage own time and processes effectively by prioritising competing demands to achieve personal and team goals, with regular review of personal performance as a primary means of managing continuing professional development."
CDAR-MAJ,1,"demonstrate sound knowledge of the processes, terminology, forms and materials of ceramics practice."
CDAR-MAJ,2,"develop and evaluate design concepts and processes by thinking creatively, critically and reflectively."
CDAR-MAJ,3,"respond to the demands of a project, either independently or collaboratively, by applying skills and knowledge to the design, visualisation and making of creative works."
CDAR-MAJ,4,"interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences."
CDAR-MAJ,5,"recognise and reflect on social, ethical, cultural, technological, and environmental issues of creative practice and design considering local and international perspectives."
CDAR-MAJ,6,identify and apply occupational health and safety principles within a workshop environment.
CFVG-MAJ,1,aurally recognize and theoretically analyze music in its relationship to the visual image;
CFVG-MAJ,2,compose and record original music to visual media;
CFVG-MAJ,3,complete professional quality mixes using Logic Pro X and Pro Tools software; and
CFVG-MAJ,4,communicate their creative decisions and articulate them in relationship to the historical body of musical works.
CHEM-MAJ,1,"Combine depth and breadth of understanding of chemical knowledge to discern the structure, bonding, properties, characterisation and reactivity of molecular and macromolecular compounds and solid state materials."
CHEM-MAJ,2,Integrate chemical concepts and ideas to solve problems of a chemical nature.
CHEM-MAJ,3,Use well developed laboratory based skills to perform qualitative and quantitative chemical analysis.
CHEM-MAJ,4,"Prepare, isolate, purify and characterise chemical compounds and design a synthetic pathway to them based on literature precedents."
CHEM-MAJ,5,Undertake appropriate chemical risk assessments and handle and use chemicals in a safe manner including the correct disposal of chemical wastes.
CHEM-MAJ,6,"Use software and instrumentation for the acquisition, processing and analysis of chemical data."
CHEM-MAJ,7,Access relevant chemical literature and use it to present well constructed arguments based on sound chemical reasoning.
CHEM-MAJ,8,Perform both collaborative and independent research in a professional manner.
CHEM-MAJ,9,Communicate chemically relevant material clearly and accurately to an expert or a non-expert audience.
CHEM-MAJ,10,"Recognise the interdisciplinary nature of chemistry and its underlying significance in other areas of science, engineering and medicine."
CHEM-MAJ,11,Perceive the ethical and social dimensions of practising chemistry.
CHIN-MAJ,1,"Express themselves confidently in spoken and written Standard Modern Chinese in informal and formal registers of the language, with vocabularies appropriate to the context."
CHIN-MAJ,2,Identify and use advanced grammatical rules and complicated sentence structures relevant to a range of conversational situations and texts;
CHIN-MAJ,3,Communicate spontaneously and with confidence in writing and speaking on a range of intellectually and linguistically challenging topics.
CHIN-MAJ,4,"Analyse aspects of contemporary Chinese culture, society and politics."
CHST-MAJ,1,Understand and evaluate historical and current events and developments that have shaped China.
CHST-MAJ,2,Identify and critique the socio-cultural and political systems of China.
CHST-MAJ,3,Analyse developments in China in their regional and global contexts.
CHST-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about Chinese Studies has developed.
CLSC-MAJ,1,"Think critically about climate science issues, integrate information, and construct logical, consistent and synthesised arguments."
CLSC-MAJ,2,Quantitatively analyse climate data and climate model output using a variety of observations and techniques.
CLSC-MAJ,3,"Draw on diverse learning environments including field, laboratory and classroom settings encompassing individual and group learning."
CLSC-MAJ,4,"Perform process-oriented, multidisciplinary studies to critically evaluate hypotheses and models on how our climate system and the life within operate."
CLSC-MAJ,5,"Write scientific reports and communicate efficiently with university staff, peer students and the wider community on Climate Science topics."
CMBI-MAJ,1,"Demonstrate and apply knowledge of how biochemistry, genetics and molecular biology are used to elucidate the functions of molecules and cells."
CMBI-MAJ,2,"Integrate and extend their conceptual knowledge of the structure and function of prokaryotic and eukaryotic cells, as whole entities and in terms of their subcellular and molecular processes."
CMBI-MAJ,3,"Explain how biology is an evidence-based discipline involving observation, experimentation and hypothesis testing and how it relates to other scientific disciplines."
CMBI-MAJ,4,Develop and implement experimental strategies to investigate different biological and experimental systems and analyse and present results of these investigations.
CMBI-MAJ,5,"Critically assess biological information and apply it to theoretical, experimental and professional contexts."
CMBI-MAJ,6,"Employ their collaborative and independent educational experiences of laboratory, project and coursework in other contexts."
CMBI-MAJ,7,Clearly communicate biological processes and principles to both science literate and non-science literate audiences.
CMBI-MAJ,8,"Recognise how biology contributes to resolving ethical, social, medical and environmental issues and the expectations this places on their professional practice."
COMP-MAJ,1,understand a wide range of compositional issues inaesthetic and technical terms;
COMP-MAJ,2,analyse a diverse range of music using a number ofrelevant theories and methods;
COMP-MAJ,3,"create and present compositions of a highly proficientstandard utilising appropriate notation, instrumentation, orchestration, and/orrecording techniques, in one or more styles and at least two genres; and"
COMP-MAJ,4,communicate clearly the creative decisions madein the course of composing and how these relate to relevant historicaltraditions or precedents.
COMS-MAJ,1,n/a - blank in rolled over form
CORP-MAJ,1,"Demonstrate a broad and coherent knowledge of corporate sustainability concepts, issues and practices from multidisciplinary perspectives;"
CORP-MAJ,2,Exercise critical thinking and judgement to identify and solve corporate sustainability problems;
CORP-MAJ,3,"Apply theoretical and practical knowledge to analyse sustainability issues in business, market, social, ethical and regulatory context;"
CORP-MAJ,4,Communicate sustainability knowledge and ideas in aclear and coherent way.
CPMK-MAJ,1,"Understand the three basic ideas underpinning finance: the time value of money; diversification; and, arbitrage and their application to corporate financial decision-making; investment decisions and portfolio management; derivatives and risk management; portfolio construction; corporate valuation; and debt markets."
CPMK-MAJ,2,Understand the role of lending and risk management decisions of banks and financial intermediaries in financial markets.
CPMK-MAJ,3,"Understand the pricing and hedging of options, futures and other contingent claims and their role in risk management."
CPMK-MAJ,4,"Understand investments theory, as well as knowledge of the issues associated with the application of this theory in a practical setting, in particular, how it applies to portfolio construction."
CPMK-MAJ,5,"Apply discounted cash flow analysis to corporate investment, financing, dividend and merger and acquisition decisions."
CPMK-MAJ,6,Understand and apply finance theory to company valuation in a practical setting.
CPMK-MAJ,7,"Work independently and collaboratively to collect, process, interpret and communicate the outcomes of financial problems."
CRIM-MAJ,1,"describe the social construction of crime, deviance and social control;"
CRIM-MAJ,2,describe the dimensions of crime and key trends in Australia;
CRIM-MAJ,3,"acquire, interpret and communicate a range of data, both quantitative and qualitative, in areas of key criminological significance;"
CRIM-MAJ,4,"critically evaluate criminological theories and explanations of crime causation, deviancy and social control;"
CRIM-MAJ,5,recognise the socio-political contours and impacts of the criminal justice system on different individuals and groups;
CRIM-MAJ,6,engage with policy issues and key debates within the field of criminology; and
CRIM-MAJ,7,"recognise the social and cultural responses to crime, deviance and social control from an informed scholarly perspective."
CSCI-MAJ,1,Understand the basic principles and theory used in developing computational solutions to problems. These include the ability to use formal notations and the use of the principle of abstraction.
CSCI-MAJ,2,"Apply a range of skills to analyse problems and construct a reliable computational solution. This includes the identification of requirements, separation of concerns, and testing."
CSCI-MAJ,3,"Understand the connections between computing and other disciplines, and recognize computational ideas embedded in other contexts."
CSCI-MAJ,4,"Apply independent learning and reasoning in the computing discipline; this includes an awareness of current research issues. This is done through reading of textbooks, papers and and electronic resources."
CSCI-MAJ,5,Work in both independent and collaborative ways with others; relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways; but at the same time be responsible for individual work and aware of plagiarism issues.
CSCI-MAJ,6,Apply in-depth knowledge and competencies in advanced areas of the computing discipline.
CSEC-MAJ,1,"Understand the principles, practice and issues associated with the field of cyber security"
CSEC-MAJ,2,"Apply a range of modelling, management, analytics and visualisation techniques to handle relevant defensive as well as offensive cyber security operations"
CSEC-MAJ,3,Reverse-engineer systems based on minimal outside information
CSEC-MAJ,4,Communicate and present their knowledge of cyber security to diverse audiences
DEMO-MAJ,1,demonstrate an understanding of demographic changes in the world and their major determinants;
DEMO-MAJ,2,"draw on demographic methods and population theories to explain past, present and future population characteristics;"
DEMO-MAJ,3,apply demographic concepts and theories to understand contemporary socio-economic issues and current affairs;
DEMO-MAJ,4,examine policy issues based on demographic concepts and theories; and
DEMO-MAJ,5,construct an evidence-based argument on population issues using a demographic perspective.
DEST-MAJ,1,understand the different perspectives and theories of development and change in the modern era;
DEST-MAJ,2,apply these perspectives and theories to the practical issues of delivering development programs;
DEST-MAJ,3,"analyse the competing interests, motivations and discourse of key stakeholders and interest groups; and"
DEST-MAJ,4,devise and conduct research and write critically about these issues.
,0,nil
DIHU-MAJ,1,"apply theoretical frameworks  and research techniques critically in order to understand the key issues  raised by the digital humanities, and by the use of information technologies  in the arts and social sciences more generally;"
DIHU-MAJ,2,identify and analyse relevant sources of online information and assess their importance and reliability within the context of the student's disciplinary background;
DIHU-MAJ,3,evaluate ideas and  projects to assess the impact of digital technologies on humanities research  and make connections between different disciplinary approaches and methods;
DIHU-MAJ,4,"communicate and debate  effectively with others, both orally and in writing, using a variety of media  and communication platforms; and"
DIHU-MAJ,5,"understand the ethical  implications of ideas, actions, and communications undertaken online."
DTSC-MAJ,0,nil
EART-MAJ,1,"Gather and interpret data from a wide range of Earth Science disciplines, using a variety of techniques."
EART-MAJ,2,Develop theoretical and practical skills required for Earth Sciences.
EART-MAJ,3,Have an understanding of the history of and debates within the discipline of Geology and how they have influenced modern Earth Science.
EART-MAJ,4,"Apply an understanding of time (evolution of continents, oceans and life over billions of years) and space (nano to planetary scales) to a variety of contexts."
EART-MAJ,5,"Perform process-oriented, multidisciplinary studies to critically evaluate models and test hypotheses on how our planet works."
EART-MAJ,6,"Write scientific reports, and communicate effectively with university staff, peer students and the wider community on Earth Science topics."
EART-MAJ,7,Conduct themselves in a way that reflects professional expectations within the discipline.
ECST-MAJ,1,"Demonstrate an understanding of the roles played by consumers, producers and government institutions as the major components of a modern economy."
ECST-MAJ,2,Demonstrate an understanding of the basic principles and theory used in designing economic solutions to real world problems.
ECST-MAJ,3,"Apply economic models of how individuals make decisions and interact, the ways that businesses are structured and compete, and the role of government in economic activity in order to it improve economic, social and business outcomes."
ECST-MAJ,4,"Apply economic ideas to problems in other fields such as politics, science and engineering."
ECST-MAJ,5,Synthesise and communicate economic ideas in modes appropriate to a variety of audiences.
ECST-MAJ,6,Demonstrate the ability to work both independently and collaboratively with others.
EEOB-MAJ,1,Explain the evolutionary processes and the major evolutionary innovations that have led to the diversity of extant plant and animal life.
EEOB-MAJ,2,Demonstrate and apply knowledge of the structures and processes involved in the functioning of plants and animals.
EEOB-MAJ,3,"Describe the nature of interactions between and among plants and animals, and describe the important processes governing the dynamics of plant and animal communities."
EEOB-MAJ,4,"Explain how biology is an evidence-based discipline involving observation, experimentation and hypothesis testing and how it relates to other scientific disciplines."
EEOB-MAJ,5,Develop and implement experimental strategies to investigate different biological and experimental systems and analyse and present results of these investigations.
EEOB-MAJ,6,"Critically assess biological information and apply it to theoretical, experimental and professional contexts."
